columna_excel,precio_tipico,visto_en_bloques,sku_contpaqi,nombre_contpaqi,clave_sat,unidad_sat,notas
GELITA ESD,27.00,DCA PABLO LIVAS:varios.xlsx; DCA (AZTECA-ANDENES):varios.xlsx,015,TORTILLA DE MAIZ 1K MARCA DOÑA GELITA,50161509,KGM,"PENDIENTE Beatriz manana: asumimos kilo (015), confirmar si es una presentacion distinta"
MI ESTRELLA,26.50,MELENDEZ  UROS:melendez.xlsx,054,TORTILLA DE TRIGO MARCA MI ESTRELLA 20 PZ 500 GRS,50161509,H87,
RANCHO,27.00,MELENDEZ  UROS:melendez.xlsx,002,TORTILLA DE MAIZ MARCA RANCHO,50161509,KGM,
RANCHO 1/2,22.10,045:varios.xlsx,022,PAQ 500 GMS TORTILLA MAIZ RANCHO,50161509,H87,
RANCHO 1/2,26.50,529:varios.xlsx; (583)SAN ANGEL (LAURA ESTHER) :varios.xlsx,022,PAQ 500 GMS TORTILLA MAIZ RANCHO,50161509,H87,
RANCHO 1/2,27.00,DYCOMSA DEL NORTE:varios.xlsx; GM CARNES  SUC.  DIEGO DIAZ:varios.xlsx; GM CARNES  SUC.  SAN NICOLAS (:varios.xlsx; 671:varios.xlsx,022,PAQ 500 GMS TORTILLA MAIZ RANCHO,50161509,H87,
RANCHO 1KG,27.00,SUPERROMA:varios.xlsx; 392:varios.xlsx; MELENDEZ  HACIENDA / ROMULO:melendez.xlsx,002,TORTILLA DE MAIZ MARCA RANCHO,50161509,KGM,
ROJA,22.00,SILLATPROP:varios.xlsx; DCA PABLO LIVAS:varios.xlsx; 008:varios.xlsx; DYCOMSA DEL NORTE:varios.xlsx; GM CARNES  SUC.  DIEGO DIAZ:varios.xlsx; GM CARNES  SUC.  SAN NICOLAS (:varios.xlsx,004,TORTILLA PARA ENCHILADA,50161509,,
S GELITA,27.00,SEPULVEDA (044):varios.xlsx; DYCOMSA DEL NORTE:varios.xlsx; 590:varios.xlsx; 671:varios.xlsx,015,TORTILLA DE MAIZ 1K MARCA DOÑA GELITA,50161509,KGM,"PENDIENTE Beatriz manana: asumimos kilo (015), confirmar si es una presentacion distinta"
S/MARCA,26.50,072:varios.xlsx; 671:varios.xlsx,VTSM,TORTILLA SIN MARCA 30pzs.,50161509,H87,
SALSA .500,29.00,DYCOMSA DEL NORTE:varios.xlsx; 072:varios.xlsx; 671:varios.xlsx,006,SALSA 500g,50131701,KGM,
SALSA 500,29.00,MELENDEZ  CIENCIA:melendez.xlsx,006,SALSA 500g,50131701,KGM,
SN MARCA,26.50,MELENDEZ  CIENCIA:melendez.xlsx,VTSM,TORTILLA SIN MARCA 30pzs.,50161509,H87,
SN MARCA,27.00,MELENDEZ  UROS:melendez.xlsx,VTSM,TORTILLA SIN MARCA 30pzs.,50161509,H87,
TACO,26.50,DCA PABLO LIVAS:varios.xlsx; DCA (AZTECA-ANDENES):varios.xlsx,017,TAQUERA DE 1 KG/RANCHO,50161509,KGM,
TACO,27.00,DYCOMSA DEL NORTE:varios.xlsx; GM CARNES  SUC.  DIEGO DIAZ:varios.xlsx; GM CARNES  SUC.  SAN NICOLAS (:varios.xlsx; 659:varios.xlsx; 529:varios.xlsx; (583)SAN ANGEL (LAURA ESTHER) :varios.xlsx,017,TAQUERA DE 1 KG/RANCHO,50161509,KGM,
TACO 1 KG,26.50,008:varios.xlsx,017,TAQUERA DE 1 KG/RANCHO,50161509,KGM,
TACO 1 KG,27.00,671:varios.xlsx,017,TAQUERA DE 1 KG/RANCHO,50161509,KGM,
TACO 1KG,26.50,DCA (INDEPENDENCIA/CENTRO):varios.xlsx,017,TAQUERA DE 1 KG/RANCHO,50161509,KGM,
TACO 1KG,27.00,MELENDEZ  HACIENDA / ROMULO:melendez.xlsx,017,TAQUERA DE 1 KG/RANCHO,50161509,KGM,
TACO 1KG.,26.00,594:ortiz.xlsx,017,TAQUERA DE 1 KG/RANCHO,50161509,KGM,
